claimID,date,amountClaimed
CL-000226,2024-11-02,10612
CL-000227,2024-03-20,1152
CL-000228,2024-03-10,13474
CL-000229,2025-07-05,13480
CL-000230,2024-12-24,5293
CL-000231,2024-03-10,9549
CL-000232,2024-03-16,6447
CL-000233,2025-05-03,25020
CL-000234,2024-05-22,14830
CL-000235,2024-02-09,3021
CL-000236,2025-04-27,4448
CL-000237,2024-11-30,11660
CL-000238,2024-09-21,1694
CL-000239,2025-12-29,6125
CL-000240,2024-04-14,13036
CL-000241,2025-11-06,20613
CL-000242,2025-12-08,12612
CL-000243,2025-09-16,11550
CL-000244,2025-06-14,7955
CL-000245,2024-12-02,13292
CL-000246,2025-03-30,5516
CL-000247,2024-10-02,10924
CL-000248,2024-11-11,10945
CL-000249,2024-06-12,11848
CL-000250,2024-05-15,5542
CL-000251,2025-01-24,13285
CL-000252,2025-07-08,1283
CL-000253,2025-10-21,7716
CL-000254,2025-03-26,5027
CL-000255,2024-08-07,11467
CL-000256,2025-05-17,10996
CL-000257,2024-02-20,6960
CL-000258,2025-01-12,2765
CL-000259,2024-02-23,12897
CL-000260,2025-10-24,4674
CL-000261,2024-05-02,7591
CL-000262,2025-07-26,7263
CL-000263,2025-10-04,1125
CL-000264,2024-01-05,2720
CL-000265,2025-10-24,14777
CL-000266,2024-01-10,37076
CL-000267,2024-05-28,1620
CL-000268,2025-05-02,3062
CL-000269,2024-02-16,5858
CL-000270,2025-08-05,7686
CL-000271,2025-02-26,8415
CL-000272,2025-06-05,12012
CL-000273,2024-04-23,10804
CL-000274,2024-06-25,11364
CL-000275,2025-01-26,6125
CL-000276,2025-08-26,7327
CL-000277,2024-07-24,5845
CL-000278,2024-09-27,14778
CL-000279,2024-02-26,4227
CL-000280,2025-12-07,5047
CL-000281,2024-12-05,52404
CL-000282,2024-06-27,2454
CL-000283,2025-06-17,11801
CL-000284,2025-11-08,14023
CL-000285,2025-03-27,6778
CL-000286,2025-07-25,1730
CL-000287,2024-09-02,7443
CL-000288,2025-05-18,7866
CL-000289,2025-07-30,6876
CL-000290,2024-10-05,14670
CL-000291,2024-06-10,13464
CL-000292,2025-03-19,13990
CL-000293,2025-03-14,7368
CL-000294,2024-01-28,4634
CL-000295,2025-08-12,8225
CL-000296,2025-03-09,4857
CL-000297,2025-12-15,5085
CL-000298,2025-08-14,2329
CL-000299,2025-12-06,14344
CL-000300,2025-05-17,12577
CL-000301,2025-11-09,1653
CL-000302,2024-02-22,6913
CL-000303,2024-10-23,14535
CL-000304,2025-05-03,13439
CL-000305,2025-02-19,8809
CL-000306,2025-08-28,50923
CL-000307,2024-04-14,52652
CL-000308,2024-07-07,4058
CL-000309,2024-07-27,14124
CL-000310,2024-10-15,7131
CL-000311,2025-11-15,46363
CL-000312,2025-12-02,9648
CL-000313,2024-07-29,4524
CL-000314,2025-02-17,9946
CL-000315,2025-08-20,10527
CL-000316,2024-06-23,11979
CL-000317,2024-05-26,38595
CL-000318,2024-09-28,7853
CL-000319,2024-08-05,12137
CL-000320,2025-10-17,1812
CL-000321,2025-11-03,4128
CL-000322,2024-02-29,8265
CL-000323,2025-10-03,10023
CL-000324,2025-08-22,11806
CL-000325,2024-04-29,5152
CL-000326,2025-07-20,3964
CL-000327,2024-07-27,13692
CL-000328,2024-04-03,14570
CL-000329,2024-10-02,6647
CL-000330,2025-01-02,10889
CL-000331,2024-09-24,13935
CL-000332,2025-10-06,7742
CL-000333,2024-01-12,2883
CL-000334,2024-01-31,6180
CL-000335,2024-02-11,7406
CL-000336,2025-03-31,12326
CL-000337,2025-06-06,13204
CL-000338,2024-09-22,11367
CL-000339,2024-06-18,12730
CL-000340,2024-04-20,56384
CL-000341,2024-05-25,1288
CL-000342,2025-08-09,13542
CL-000343,2024-07-16,4801
CL-000344,2024-02-14,13623
CL-000345,2024-02-02,4982
CL-000346,2025-08-31,3941
CL-000347,2025-05-27,12653
CL-000348,2025-09-23,11750
CL-000349,2025-11-08,1540
CL-000350,2025-02-20,10056
CL-000351,2024-11-10,12137
CL-000352,2024-11-24,13992
CL-000353,2024-02-11,14260
CL-000354,2024-06-04,5496
CL-000355,2025-04-20,2642
CL-000356,2025-04-23,1587
CL-000357,2024-08-28,10814
CL-000358,2024-04-25,7653
CL-000359,2025-10-31,3070
CL-000360,2025-10-03,2278
CL-000361,2025-07-01,14165
CL-000362,2024-04-05,11141
CL-000363,2024-11-30,9936
CL-000364,2024-04-13,5896
CL-000365,2024-01-16,13378
CL-000366,2025-11-15,14882
CL-000367,2024-05-27,12996
CL-000368,2025-04-09,3689
CL-000369,2025-03-12,5055
CL-000370,2025-01-14,6771
CL-000371,2024-12-23,1670
CL-000372,2025-04-19,6532
CL-000373,2024-08-23,14611
CL-000374,2025-10-09,4143
CL-000375,2024-08-03,5108
CL-000376,2025-06-15,2117
CL-000377,2025-03-08,29920
CL-000378,2025-11-21,12938
CL-000379,2024-05-21,10809
CL-000380,2024-04-18,5648
CL-000381,2025-11-06,53376
CL-000382,2025-03-06,7514
CL-000383,2024-04-16,57108
CL-000384,2025-12-04,6096
CL-000385,2024-03-09,37357
CL-000386,2025-05-24,4783
CL-000387,2024-06-16,7711
CL-000388,2024-07-13,12882
CL-000389,2025-01-20,5273
CL-000390,2025-08-21,3556
CL-000391,2025-11-13,25862
CL-000392,2025-04-23,14733
CL-000393,2024-10-06,10998
CL-000394,2025-06-08,4005
CL-000395,2025-07-15,4427
CL-000396,2024-02-19,3108
CL-000397,2024-08-17,8467
CL-000398,2024-09-18,12615
CL-000399,2025-05-08,7493
CL-000400,2025-10-02,14809
CL-000401,2025-06-26,59592
CL-000402,2024-06-17,6100
CL-000403,2025-01-20,10266
CL-000404,2024-12-22,6068
CL-000405,2024-08-10,6846
CL-000406,2025-12-05,49136
CL-000407,2025-07-15,2902
CL-000408,2025-08-14,5395
CL-000409,2025-07-27,45319
CL-000410,2025-04-30,1661
CL-000411,2024-06-13,5354
CL-000412,2025-04-26,12030
CL-000413,2025-10-14,10620
CL-000414,2024-01-02,10002
CL-000415,2025-10-12,13038
CL-000416,2025-12-29,9764
CL-000417,2024-07-21,1408
CL-000418,2025-04-19,11901
CL-000419,2025-03-27,2667
CL-000420,2025-01-12,904
CL-000421,2025-09-26,8296
CL-000422,2024-08-11,52951
CL-000423,2025-01-24,14923
CL-000424,2025-10-11,9757
CL-000425,2024-01-02,12124
CL-000426,2025-04-25,59025
CL-000427,2025-10-13,5924
CL-000428,2024-11-19,6408
CL-000429,2025-02-23,4100
CL-000430,2025-09-28,4496
CL-000431,2025-04-29,10487
CL-000432,2025-11-22,2870
CL-000433,2024-02-02,14511
CL-000434,2025-10-19,10901
CL-000435,2024-09-12,14943
CL-000436,2024-05-16,2636
CL-000437,2024-07-11,1903
CL-000438,2024-10-13,24213
CL-000439,2024-07-30,8357
CL-000440,2024-12-17,22384
CL-000441,2024-02-04,11502
CL-000442,2024-06-29,4389
CL-000443,2025-04-02,13512
CL-000444,2025-02-24,3342
CL-000445,2024-04-01,12851
CL-000446,2025-03-14,10407
CL-000447,2025-09-18,4976
CL-000448,2024-05-18,3127
CL-000449,2024-04-06,14932
CL-000450,2025-08-18,7030
CL-000451,2024-12-06,12914
CL-000452,2024-01-14,949
CL-000453,2025-08-16,4576
CL-000454,2025-05-07,46047
CL-000455,2025-10-09,12136
CL-000456,2025-10-21,6296
CL-000457,2025-02-17,13915
CL-000458,2024-03-22,10031
CL-000459,2025-10-14,8789
CL-000460,2025-01-17,7370
CL-000461,2024-04-26,9247
CL-000462,2024-04-19,57625
CL-000463,2025-11-28,7262
CL-000464,2025-10-01,12342
CL-000465,2024-05-18,6448
CL-000466,2024-12-20,12331
CL-000467,2024-04-21,13761
CL-000468,2025-07-19,7958
CL-000469,2025-05-24,13931
CL-000470,2025-07-20,10355
CL-000471,2024-02-20,24377
CL-000472,2024-03-09,20458
CL-000473,2025-04-19,13222
CL-000474,2024-12-24,12410
CL-000475,2024-05-27,6324
CL-000476,2025-06-25,5185
CL-000477,2025-06-08,12568
CL-000478,2024-05-23,3946
CL-000479,2024-07-28,24675
CL-000480,2024-05-17,7002
CL-000481,2024-06-17,2287
CL-000482,2024-08-03,29978
CL-000483,2024-04-17,9875
CL-000484,2025-05-24,54492
CL-000485,2025-01-31,13450
CL-000486,2025-02-08,9925
CL-000487,2024-06-10,4339
CL-000488,2024-12-16,9409
CL-000489,2024-06-21,2909
CL-000490,2025-03-25,8902
CL-000491,2024-06-19,8861
CL-000492,2025-12-06,2433
CL-000493,2024-08-14,2059
CL-000494,2025-10-04,11718
CL-000495,2024-06-24,9593
CL-000496,2025-10-22,43244
CL-000497,2025-03-10,5819
CL-000498,2025-10-06,43634
CL-000499,2024-09-10,4006
CL-000500,2025-03-07,7174
CL-000501,2025-03-05,8259
CL-000502,2024-07-27,9200
CL-000503,2025-05-01,9754
CL-000504,2025-10-27,11089
CL-000505,2025-06-09,1839
CL-000506,2025-08-14,12593
CL-000507,2024-11-01,10263
CL-000508,2025-10-31,6032
CL-000509,2024-11-22,10258
CL-000510,2025-04-11,10126
CL-000511,2024-04-09,33089
CL-000512,2024-09-03,2037
CL-000513,2024-02-01,10449
CL-000514,2024-03-31,4281
CL-000515,2024-01-10,1226
CL-000516,2025-03-01,4066
CL-000517,2024-01-14,11657
CL-000518,2024-01-13,10612
CL-000519,2024-07-14,11073
CL-000520,2024-09-30,56274
CL-000521,2024-01-17,12534
CL-000522,2024-09-05,12720
CL-000523,2025-12-31,3932
CL-000524,2025-04-06,9270
CL-000525,2024-05-28,57728
CL-000526,2025-06-09,11154
CL-000527,2024-03-15,13769
CL-000528,2025-04-12,1198
CL-000529,2025-05-01,2919
CL-000530,2024-02-27,6045
CL-000531,2024-05-25,13524
CL-000532,2024-07-25,8074
CL-000533,2025-12-07,11424
CL-000534,2025-06-27,5440
CL-000535,2024-03-28,3887
CL-000536,2025-06-25,11845
CL-000537,2025-04-14,2818
CL-000538,2024-03-17,889
CL-000539,2025-05-25,7771
CL-000540,2024-09-22,5214
CL-000541,2024-11-16,13742
CL-000542,2024-11-21,14702
CL-000543,2024-04-04,14633
CL-000544,2025-08-19,13107
CL-000545,2025-12-01,8205
CL-000546,2024-11-14,13449
CL-000547,2024-07-09,8175
CL-000548,2025-01-15,5870
CL-000549,2025-12-26,40502
CL-000550,2024-08-28,32983
CL-000551,2024-07-24,58285
CL-000552,2024-08-12,42145
CL-000553,2025-04-30,37256
CL-000554,2025-06-03,14913
CL-000555,2024-08-29,10992
CL-000556,2024-07-07,13808
CL-000557,2025-10-25,32589
CL-000558,2024-08-20,6603
CL-000559,2025-12-05,13413
CL-000560,2024-09-28,8890
CL-000561,2025-11-22,1455
CL-000562,2025-12-08,3270
CL-000563,2025-11-24,6907
CL-000564,2024-03-24,38415
CL-000565,2025-05-09,4482
CL-000566,2024-04-17,4284
CL-000567,2024-12-30,5018
CL-000568,2024-09-11,960
CL-000569,2024-11-25,2657
CL-000570,2024-06-25,28460
CL-000571,2025-08-29,5382
CL-000572,2024-01-22,2603
CL-000573,2025-08-05,3471
CL-000574,2024-11-28,6028
CL-000575,2025-07-05,12352
CL-000576,2024-06-24,13001
CL-000577,2024-05-08,3470
CL-000578,2024-10-29,1645
CL-000579,2025-02-27,10110
CL-000580,2025-02-24,4534
CL-000581,2024-10-05,4329
CL-000582,2025-12-09,6172
CL-000583,2025-06-03,4244
CL-000584,2025-03-30,14368
CL-000585,2025-05-23,5600
CL-000586,2025-03-24,56687
CL-000587,2025-09-09,56685
CL-000588,2025-01-05,2497
CL-000589,2025-04-10,6594
CL-000590,2025-01-19,6056
CL-000591,2024-06-02,3805
CL-000592,2025-03-12,8290
CL-000593,2024-10-25,10116
CL-000594,2024-06-22,5950
CL-000595,2025-06-01,23506
CL-000596,2025-04-29,7741
CL-000597,2024-05-11,12394
CL-000598,2024-11-30,2311
CL-000599,2025-05-07,8127
CL-000600,2024-12-04,1270
CL-000601,2025-04-25,1549
CL-000602,2025-03-21,9780
CL-000603,2024-10-28,30858
CL-000604,2024-08-24,11401
CL-000605,2024-04-10,9972
CL-000606,2024-05-26,13066
CL-000607,2025-06-09,3151
CL-000608,2024-09-11,47268
CL-000609,2025-02-14,29397
CL-000610,2025-03-28,4195
CL-000611,2024-08-20,10821
CL-000612,2024-04-15,12898
CL-000613,2025-02-27,7745
CL-000614,2024-07-02,4297
CL-000615,2024-02-20,5382
CL-000616,2024-10-10,1149
CL-000617,2024-06-30,904
CL-000618,2025-02-26,4035
CL-000619,2025-12-10,22307
CL-000620,2025-06-05,12897
CL-000621,2025-09-26,8854
CL-000622,2025-06-26,1880
CL-000623,2024-08-28,4921
CL-000624,2024-12-31,44607
CL-000625,2025-10-15,3910
CL-000626,2025-04-22,2267
CL-000627,2024-09-03,25944
CL-000628,2025-01-08,3214
CL-000629,2025-06-20,5939
CL-000630,2024-05-01,1694
CL-000631,2025-01-14,12918
CL-000632,2024-08-21,44955
CL-000633,2025-06-05,10263
CL-000634,2024-04-23,8371
CL-000635,2024-10-16,4064
CL-000636,2024-09-05,13979
CL-000637,2024-05-21,8347
CL-000638,2025-10-04,5431
CL-000639,2024-03-19,5204
CL-000640,2025-03-06,2998
CL-000641,2024-08-26,2991
CL-000642,2024-07-17,7479
CL-000643,2024-11-05,6291
CL-000644,2025-08-13,7208
CL-000645,2025-09-07,2120
CL-000646,2024-05-11,14659
CL-000647,2025-11-07,13358
CL-000648,2024-06-04,4367
CL-000649,2024-05-19,9573
CL-000650,2025-12-14,5037
CL-000651,2025-03-15,11634
CL-000652,2024-05-15,3723
CL-000653,2024-01-17,6746
CL-000654,2024-06-21,2923
CL-000655,2025-05-18,4179
CL-000656,2025-02-17,36731
CL-000657,2025-12-07,29525
CL-000658,2025-04-29,8975
CL-000659,2024-11-20,6094
CL-000660,2024-06-12,14385
CL-000661,2025-03-16,2934
CL-000662,2025-04-01,5768
CL-000663,2024-10-20,14665
CL-000664,2024-12-06,11229
CL-000665,2025-01-25,11193
CL-000666,2024-09-24,12848
CL-000667,2025-05-15,35738
CL-000668,2024-10-09,8358
CL-000669,2024-01-27,2741
CL-000670,2024-03-19,3643
CL-000671,2024-06-11,10314
CL-000672,2024-12-20,2455
CL-000673,2025-04-17,1801
CL-000674,2025-01-13,9343
CL-000675,2024-07-01,12538
CL-000676,2024-03-21,2270
CL-000677,2025-01-14,1639
CL-000678,2025-10-06,54405
CL-000679,2024-09-20,2135
CL-000680,2024-12-20,7834
CL-000681,2024-04-28,12843
CL-000682,2024-06-30,5498
CL-000683,2025-04-07,1567
CL-000684,2025-11-19,888
CL-000685,2024-03-18,31378
CL-000686,2025-12-07,5055
CL-000687,2025-12-16,5254
CL-000688,2024-12-26,14950
CL-000689,2024-07-28,8635
CL-000690,2025-12-15,1437
CL-000691,2025-02-18,36107
CL-000692,2024-01-12,7938
CL-000693,2025-02-05,3453
CL-000694,2024-04-28,7237
CL-000695,2024-11-24,3057
CL-000696,2024-01-22,6480
CL-000697,2024-03-16,1999
CL-000698,2024-10-13,12433
CL-000699,2025-08-23,10762
CL-000700,2025-08-25,9489
CL-000701,2024-11-06,10231
CL-000702,2025-12-11,3857
CL-000703,2025-07-16,5136
CL-000704,2025-07-09,4224
CL-000705,2025-07-17,33500
CL-000706,2024-01-07,14597
CL-000707,2025-06-12,4483
CL-000708,2025-03-04,4104
CL-000709,2024-07-20,12300
CL-000710,2025-10-02,2035
CL-000711,2025-09-26,37627
CL-000712,2024-12-30,5711
CL-000713,2025-01-19,43319
CL-000714,2024-12-30,10034
CL-000715,2024-10-18,23951
CL-000716,2024-01-17,5199
CL-000717,2025-07-24,43549
CL-000718,2024-04-27,5774
CL-000719,2025-11-11,4854
CL-000720,2024-02-27,13051
CL-000721,2024-02-29,9899
CL-000722,2025-03-15,6851
CL-000723,2025-06-18,12348
CL-000724,2024-03-03,10548
CL-000725,2025-08-07,10249
CL-000726,2024-01-14,12327
CL-000727,2024-04-28,14046
CL-000728,2024-05-15,6780
CL-000729,2025-05-29,11196
CL-000730,2024-04-28,10425
CL-000731,2025-02-28,10356
CL-000732,2025-05-03,10169
CL-000733,2024-07-09,1666
CL-000734,2024-08-08,3500
CL-000735,2025-08-17,14118
CL-000736,2024-02-11,25766
CL-000737,2024-02-14,14448
CL-000738,2024-05-27,6364
CL-000739,2025-12-12,7234
CL-000740,2025-06-16,13312
CL-000741,2024-09-12,13958
CL-000742,2024-03-16,883
CL-000743,2025-03-26,6377
CL-000744,2024-11-05,58999
CL-000745,2025-05-30,43397
CL-000746,2025-10-23,5310
CL-000747,2024-07-24,3512
CL-000748,2025-06-12,7277
CL-000749,2024-02-27,11459
CL-000750,2025-04-11,12409
CL-000751,2025-05-10,14683
CL-000752,2025-08-17,14472
CL-000753,2024-08-23,31197
CL-000754,2024-10-17,5269
CL-000755,2024-01-19,8047
CL-000756,2024-07-06,3325
CL-000757,2025-11-13,7673
CL-000758,2024-09-19,1490
CL-000759,2024-10-12,9910
CL-000760,2025-09-10,26875
CL-000761,2024-01-09,28449
CL-000762,2025-06-10,11654
CL-000763,2024-01-05,9940
CL-000764,2025-07-05,12290
CL-000765,2025-08-11,38038
CL-000766,2025-05-19,14361
CL-000767,2025-08-31,7971
CL-000768,2024-05-26,8286
CL-000769,2024-07-16,3620
CL-000770,2024-07-17,3105
CL-000771,2024-08-04,12097
CL-000772,2025-04-16,50046
CL-000773,2024-03-27,13630
CL-000774,2025-10-29,12772
CL-000775,2025-01-07,14496
CL-000776,2024-06-03,8420
CL-000777,2025-07-25,26208
CL-000778,2025-03-10,7823
CL-000779,2025-02-01,14079
CL-000780,2025-07-27,10873
CL-000781,2024-08-17,9032
CL-000782,2025-07-12,8705
CL-000783,2025-03-14,14798
CL-000784,2024-12-08,14069
CL-000785,2025-04-04,26056
CL-000786,2025-01-11,11210
CL-000787,2025-08-27,2718
CL-000788,2025-10-09,32105
CL-000789,2025-01-30,8193
CL-000790,2024-02-07,1042
CL-000791,2025-05-27,9373
CL-000792,2025-10-20,13709
CL-000793,2024-05-23,4151
CL-000794,2024-03-24,12633
CL-000795,2024-03-24,7100
CL-000796,2024-04-17,4669
CL-000797,2024-09-15,3655
CL-000798,2025-04-13,14319
CL-000799,2024-09-10,11316
CL-000800,2025-01-23,12101
CL-000801,2024-07-30,11935
CL-000802,2024-03-03,1823
CL-000803,2025-09-19,14120
CL-000804,2024-10-18,34519
CL-000805,2025-11-19,5689
CL-000806,2025-12-25,2716
CL-000807,2025-10-18,7442
CL-000808,2025-07-16,6729
CL-000809,2024-04-03,56211
CL-000810,2025-03-20,5873
CL-000811,2024-01-31,1040
CL-000812,2025-03-24,8646
CL-000813,2024-03-06,13614
CL-000814,2024-05-15,13049
CL-000815,2025-04-24,1025
CL-000816,2024-04-15,5512
CL-000817,2024-01-21,12160
CL-000818,2024-01-24,977
CL-000819,2024-08-10,41597
CL-000820,2024-04-26,7313
CL-000821,2024-07-09,1796
CL-000822,2024-03-28,50391
CL-000823,2025-02-17,5496
CL-000824,2025-09-25,9109
CL-000825,2024-05-03,1826
CL-000826,2024-05-04,12824
CL-000827,2024-08-23,908
CL-000828,2025-08-23,3023
CL-000829,2025-07-28,27089
CL-000830,2025-12-07,7922
CL-000831,2025-08-09,3822
CL-000832,2024-07-17,9723
CL-000833,2024-10-21,6169
CL-000834,2025-04-06,13414
CL-000835,2024-02-05,1722
CL-000836,2024-01-07,14994
CL-000837,2024-07-02,14705
CL-000838,2025-11-04,10451
CL-000839,2024-03-08,4779
CL-000840,2025-11-12,2071
CL-000841,2025-08-07,21174
CL-000842,2025-03-26,30109
CL-000843,2024-01-01,27642
CL-000844,2025-03-05,8150
CL-000845,2024-12-19,41605
CL-000846,2025-03-19,2759
CL-000847,2024-01-08,9558
CL-000848,2025-03-20,3380
CL-000849,2025-12-10,13939
CL-000850,2025-02-02,823
CL-000851,2025-02-25,37541
CL-000852,2024-02-10,8402
CL-000853,2025-10-01,4555
CL-000854,2024-03-25,3419
CL-000855,2024-11-08,2034
CL-000856,2024-10-09,12053
CL-000857,2025-09-30,3569
CL-000858,2025-02-25,10910
CL-000859,2025-07-18,9677
CL-000860,2024-01-03,8163
CL-000861,2025-02-03,8885
CL-000862,2024-10-03,9556
CL-000863,2024-08-27,8281
CL-000864,2024-11-09,3563
CL-000865,2025-01-06,6038
CL-000866,2024-03-23,53133
CL-000867,2024-05-23,11439
CL-000868,2024-01-18,4772
CL-000869,2025-12-04,8746
CL-000870,2024-12-19,8638
CL-000871,2024-12-05,3122
CL-000872,2024-12-22,12004
CL-000873,2024-08-12,14371
CL-000874,2025-02-02,51039
