sectionId,title,lastUpdated,standardId,parentSectionId
MIFIDPRU 9.3,MIFIDPRU 9.3 Reporting timetable,2021-04-01T00:00:00Z,,MIFIDPRU 9
MIFIDPRU 9.3.1,MIFIDPRU 9.3.1 Reporting timetable — detailed provisions,2024-07-30T00:00:00Z,,MIFIDPRU 9.3
SYSC 1,SYSC 1 Application and purpose,2024-04-08T00:00:00Z,SYSC,
SYSC 1.1,SYSC 1.1 Application,2023-08-11T00:00:00Z,,SYSC 1
SYSC 1.1.1,SYSC 1.1.1 Application — detailed provisions,2023-04-06T00:00:00Z,,SYSC 1.1
SYSC 1.2,SYSC 1.2 Calculation,2022-12-04T00:00:00Z,,SYSC 1
SYSC 1.3,SYSC 1.3 Governance and oversight,2024-03-17T00:00:00Z,,SYSC 1
SYSC 1.3.1,SYSC 1.3.1 Governance and oversight — detailed provisions,2025-02-12T00:00:00Z,,SYSC 1.3
SYSC 1.4,SYSC 1.4 Transitional provisions,2025-07-24T00:00:00Z,,SYSC 1
SYSC 4,SYSC 4 General organisational requirements,2023-05-27T00:00:00Z,SYSC,
SYSC 4.1,SYSC 4.1 Exemptions,2025-05-26T00:00:00Z,,SYSC 4
SYSC 4.2,SYSC 4.2 Group application,2022-01-08T00:00:00Z,,SYSC 4
SYSC 4.3,SYSC 4.3 Reporting timetable,2024-06-08T00:00:00Z,,SYSC 4
SYSC 5,"SYSC 5 Employees, agents and other relevant persons",2020-12-01T00:00:00Z,SYSC,
SYSC 5.1,SYSC 5.1 Reporting timetable,2022-07-22T00:00:00Z,,SYSC 5
SYSC 5.2,SYSC 5.2 General requirements,2024-10-14T00:00:00Z,,SYSC 5
SYSC 6,"SYSC 6 Compliance, internal audit and financial crime",2022-09-11T00:00:00Z,SYSC,
SYSC 6.1,SYSC 6.1 Purpose,2021-03-01T00:00:00Z,,SYSC 6
SYSC 6.1.1,SYSC 6.1.1 Purpose — detailed provisions,2023-10-16T00:00:00Z,,SYSC 6.1
SYSC 6.2,SYSC 6.2 Governance and oversight,2023-07-15T00:00:00Z,,SYSC 6
SYSC 6.2.1,SYSC 6.2.1 Governance and oversight — detailed provisions,2025-08-17T00:00:00Z,,SYSC 6.2
SYSC 6.3,SYSC 6.3 Transitional provisions,2022-09-26T00:00:00Z,,SYSC 6
SYSC 6.3.1,SYSC 6.3.1 Transitional provisions — detailed provisions,2024-09-28T00:00:00Z,,SYSC 6.3
SYSC 6.4,SYSC 6.4 Reporting timetable,2023-02-16T00:00:00Z,,SYSC 6
SYSC 6.4.1,SYSC 6.4.1 Reporting timetable — detailed provisions,2024-04-01T00:00:00Z,,SYSC 6.4
SYSC 7,SYSC 7 Risk control,2024-07-08T00:00:00Z,SYSC,
SYSC 7.1,SYSC 7.1 Reporting timetable,2023-08-03T00:00:00Z,,SYSC 7
SYSC 7.2,SYSC 7.2 General requirements,2023-07-02T00:00:00Z,,SYSC 7
SYSC 7.2.1,SYSC 7.2.1 General requirements — detailed provisions,2025-03-05T00:00:00Z,,SYSC 7.2
SYSC 7.3,SYSC 7.3 Notification requirements,2023-12-15T00:00:00Z,,SYSC 7
SYSC 7.4,SYSC 7.4 Record-keeping,2021-07-21T00:00:00Z,,SYSC 7
SYSC 8,SYSC 8 Outsourcing and third party arrangements,2021-10-04T00:00:00Z,SYSC,
SYSC 8.1,SYSC 8.1 Governance and oversight,2021-07-30T00:00:00Z,,SYSC 8
SYSC 8.2,SYSC 8.2 Exemptions,2022-04-13T00:00:00Z,,SYSC 8
SYSC 8.2.1,SYSC 8.2.1 Exemptions — detailed provisions,2025-06-19T00:00:00Z,,SYSC 8.2
SYSC 8.3,SYSC 8.3 Guidance on interpretation,2021-12-12T00:00:00Z,,SYSC 8
SYSC 15A,SYSC 15A Operational resilience,2023-01-10T00:00:00Z,SYSC,
SYSC 15A.1,SYSC 15A.1 Guidance on interpretation,2022-12-26T00:00:00Z,,SYSC 15A
SYSC 15A.1.1,SYSC 15A.1.1 Guidance on interpretation — detailed provisions,2025-06-28T00:00:00Z,,SYSC 15A.1
SYSC 15A.2,SYSC 15A.2 General requirements,2022-07-30T00:00:00Z,,SYSC 15A
SYSC 15A.3,SYSC 15A.3 Calculation,2025-10-26T00:00:00Z,,SYSC 15A
SYSC 15A.3.1,SYSC 15A.3.1 Calculation — detailed provisions,2023-09-10T00:00:00Z,,SYSC 15A.3
SYSC 18,SYSC 18 Whistleblowing,2024-06-25T00:00:00Z,SYSC,
SYSC 18.1,SYSC 18.1 Notification requirements,2022-01-19T00:00:00Z,,SYSC 18
SYSC 18.2,SYSC 18.2 Record-keeping,2024-02-09T00:00:00Z,,SYSC 18
SYSC 18.3,SYSC 18.3 Transitional provisions,2022-03-15T00:00:00Z,,SYSC 18
SYSC 19G,SYSC 19G Remuneration codes,2023-11-23T00:00:00Z,SYSC,
SYSC 19G.1,SYSC 19G.1 Transitional provisions,2024-10-08T00:00:00Z,,SYSC 19G
SYSC 19G.2,SYSC 19G.2 Guidance on interpretation,2026-02-02T00:00:00Z,,SYSC 19G
SYSC 19G.2.1,SYSC 19G.2.1 Guidance on interpretation — detailed provisions,2025-01-14T00:00:00Z,,SYSC 19G.2
SYSC 19G.3,SYSC 19G.3 General requirements,2021-06-07T00:00:00Z,,SYSC 19G
COBS 2,COBS 2 Conduct of business obligations,2023-06-01T00:00:00Z,COBS,
COBS 2.1,COBS 2.1 General requirements,2021-10-18T00:00:00Z,,COBS 2
COBS 2.2,COBS 2.2 Calculation,2025-12-03T00:00:00Z,,COBS 2
COBS 2.2.1,COBS 2.2.1 Calculation — detailed provisions,2023-07-12T00:00:00Z,,COBS 2.2
COBS 3,COBS 3 Client categorisation,2020-05-03T00:00:00Z,COBS,
COBS 3.1,COBS 3.1 Governance and oversight,2025-07-24T00:00:00Z,,COBS 3
COBS 3.1.1,COBS 3.1.1 Governance and oversight — detailed provisions,2025-04-09T00:00:00Z,,COBS 3.1
COBS 3.2,COBS 3.2 Transitional provisions,2024-04-27T00:00:00Z,,COBS 3
COBS 4,COBS 4 Communicating with clients,2025-07-09T00:00:00Z,COBS,
COBS 4.1,COBS 4.1 Group application,2025-12-11T00:00:00Z,,COBS 4
COBS 4.2,COBS 4.2 Reporting timetable,2024-08-09T00:00:00Z,,COBS 4
COBS 4.3,COBS 4.3 General requirements,2022-11-13T00:00:00Z,,COBS 4
COBS 4.4,COBS 4.4 Calculation,2025-12-05T00:00:00Z,,COBS 4
COBS 6,COBS 6 Information about the firm and its services,2023-06-28T00:00:00Z,COBS,
COBS 6.1,COBS 6.1 Purpose,2024-06-08T00:00:00Z,,COBS 6
COBS 6.1.1,COBS 6.1.1 Purpose — detailed provisions,2024-10-24T00:00:00Z,,COBS 6.1
COBS 6.2,COBS 6.2 Governance and oversight,2022-12-09T00:00:00Z,,COBS 6
COBS 6.3,COBS 6.3 Exemptions,2025-10-09T00:00:00Z,,COBS 6
COBS 9A,COBS 9A Suitability,2020-11-13T00:00:00Z,COBS,
COBS 9A.1,COBS 9A.1 Exemptions,2023-07-17T00:00:00Z,,COBS 9A
COBS 9A.2,COBS 9A.2 Group application,2025-02-07T00:00:00Z,,COBS 9A
COBS 9A.2.1,COBS 9A.2.1 Group application — detailed provisions,2025-03-22T00:00:00Z,,COBS 9A.2
COBS 9A.3,COBS 9A.3 Application,2024-03-05T00:00:00Z,,COBS 9A
COBS 9A.4,COBS 9A.4 Purpose,2023-12-10T00:00:00Z,,COBS 9A
COBS 10A,COBS 10A Appropriateness,2022-02-01T00:00:00Z,COBS,
COBS 10A.1,COBS 10A.1 General requirements,2023-05-30T00:00:00Z,,COBS 10A
COBS 10A.1.1,COBS 10A.1.1 General requirements — detailed provisions,2023-10-29T00:00:00Z,,COBS 10A.1
COBS 10A.2,COBS 10A.2 Notification requirements,2024-10-11T00:00:00Z,,COBS 10A
COBS 11,COBS 11 Dealing and managing,2022-06-15T00:00:00Z,COBS,
COBS 11.1,COBS 11.1 Governance and oversight,2021-04-10T00:00:00Z,,COBS 11
COBS 11.1.1,COBS 11.1.1 Governance and oversight — detailed provisions,2022-08-25T00:00:00Z,,COBS 11.1
COBS 11.2,COBS 11.2 Transitional provisions,2021-06-10T00:00:00Z,,COBS 11
COBS 11.3,COBS 11.3 Guidance on interpretation,2023-08-25T00:00:00Z,,COBS 11
COBS 11.4,COBS 11.4 Application,2026-02-17T00:00:00Z,,COBS 11
COBS 11.4.1,COBS 11.4.1 Application — detailed provisions,2024-01-02T00:00:00Z,,COBS 11.4
COBS 16A,COBS 16A Reporting to clients,2023-05-28T00:00:00Z,COBS,
COBS 16A.1,COBS 16A.1 Application,2025-02-16T00:00:00Z,,COBS 16A
COBS 16A.1.1,COBS 16A.1.1 Application — detailed provisions,2022-08-27T00:00:00Z,,COBS 16A.1
COBS 16A.2,COBS 16A.2 Calculation,2023-05-09T00:00:00Z,,COBS 16A
COBS 16A.3,COBS 16A.3 Governance and oversight,2024-02-10T00:00:00Z,,COBS 16A
MIFIDPRU 4.12,MIFIDPRU 4.12 K-DTF daily trading flow requirement,2026-07-15T00:00:00Z,,MIFIDPRU 4
MIFIDPRU 4.12.1,MIFIDPRU 4.12.1 Measurement of daily trading flow,2026-06-30T00:00:00Z,,MIFIDPRU 4.12
