from_name,to_name,road_ref,road_class,distance_km,free_flow_speed_kph,peak_speed_kph
Grenoble,Lyon,A48,Express,110.0,130,105
Grenoble,Valence,A48,Motorway,82.6,130,95
Chaumont,Dijon,A5,Motorway,102.3,130,95
Chaumont,Troyes,A5,Motorway,94.6,130,95
Marseille,Toulon,A50,Motorway,57.0,130,95
Aix-en-Provence,Manosque,A51,Motorway,50.4,130,95
Gap,Manosque,A51,Motorway,97.4,130,95
Arles,Nimes,A54,Motorway,32.4,130,95
Draguignan,Toulon,A57,Motorway,73.5,130,95
Auxerre,Fontainebleau,A6,Motorway,108.4,130,95
Chalon-sur-Saone,Macon,A6,Motorway,61.1,130,95
Fontainebleau,Paris,A6,Motorway,65.5,130,95
Lyon,Macon,A6,Motorway,70.0,130,95
Carcassonne,Narbonne,A61,Motorway,61.7,130,95
Carcassonne,Toulouse,A61,Motorway,98.7,130,95
Agen,Montauban,A62,Motorway,72.5,130,95
Bayonne,Dax,A63,Motorway,48.4,130,95
Bayonne,Pau,A64,Motorway,106.6,130,95
Pau,Tarbes,A64,Motorway,43.0,130,95
Mont-de-Marsan,Pau,A65,Motorway,77.8,130,95
Arcachon,Bordeaux,A660,Motorway,58.7,130,95
Albi,Toulouse,A68,Motorway,77.8,130,95
Avignon,Marseille,A7,Motorway,99.3,130,95
Avignon,Orange,A7,Motorway,24.3,130,95
Lyon,Valence,A7,Motorway,107.3,130,95
Montelimar,Orange,A7,Motorway,54.4,130,95
Montelimar,Valence,A7,Motorway,50.1,130,95
Bourges,Montlucon,A71,Motorway,97.2,130,95
Bourges,Vierzon,A71,Motorway,34.1,130,95
Clermont-Ferrand,Montlucon,A71,Motorway,84.6,130,95
Orleans,Vierzon,A71,Motorway,88.9,130,95
Beziers,Millau,A75,Motorway,98.2,130,95
Antibes,Cannes,A8,Motorway,10.7,130,95
Antibes,Nice,A8,Motorway,21.0,130,95
Cannes,Frejus,A8,Motorway,30.4,130,95
Laval,Le Mans,A81,Motorway,83.8,130,95
Laval,Rennes,A81,Motorway,78.7,130,95
La Roche-sur-Yon,Nantes,A83,Motorway,71.5,130,95
La Roche-sur-Yon,Niort,A83,Motorway,96.4,130,95
La Rochelle,Rochefort,A837,Motorway,32.7,130,95
Rochefort,Saintes,A837,Motorway,38.9,130,95
Caen,Saint-Lo,A84,Motorway,61.2,130,95
Angers,Saumur,A85,Motorway,50.9,130,95
Saumur,Tours,A85,Motorway,68.9,130,95
Angers,Cholet,A87,Motorway,60.7,130,95
Cholet,La Roche-sur-Yon,A87,Motorway,69.6,130,95
Brive-la-Gaillarde,Perigueux,A89,Motorway,73.9,130,95
Beziers,Montpellier,A9,Motorway,70.8,130,95
Beziers,Narbonne,A9,Motorway,28.7,130,95
Montpellier,Nimes,A9,Motorway,53.7,130,95
Narbonne,Perpignan,A9,Motorway,64.7,130,95
Nimes,Orange,A9,Motorway,56.9,130,95
Saint-Etienne,Villeurbanne,D900,Local,70.0,80,60
Bourg-en-Bresse,Villeurbanne,D901,Local,71.1,80,60
Lille,Tourcoing,D902,Local,16.6,80,60
Douai,Tourcoing,D903,Local,51.5,80,60
Thionville,Verdun,D904,Local,79.4,80,60
Nancy,Thionville,D905,Local,96.3,80,60
Arcachon,Libourne,D906,Local,101.9,80,60
Arcachon,Mont-de-Marsan,D907,Local,130.7,80,60
Cannes,Nice,D908,Local,34.2,80,60
Aix-en-Provence,Marseille,D909,Local,34.7,80,60
Brest,Lorient,D910,Local,142.2,80,60
Beziers,Perpignan,D911,Local,100.6,80,60
Argenteuil,Versailles,D912,Local,23.9,80,60
Douai,Roubaix,D913,Local,47.5,80,60
Creteil,Saint-Maur-des-Fosses,D914,Local,4.3,80,60
La Roche-sur-Yon,La Rochelle,D915,Local,78.8,80,60
Antibes,Frejus,D916,Local,45.9,80,60
La Roche-sur-Yon,Saint-Nazaire,D917,Local,116.7,80,60
Bayonne,Mont-de-Marsan,D918,Local,116.9,80,60
Blois,Vierzon,D919,Local,89.0,80,60
Limoges,Tulle,D920,Local,96.8,80,60
Cherbourg-en-Cotentin,Le Havre,D921,Local,163.0,80,60
Dieppe,Le Havre,D922,Local,109.8,80,60
Lille,Valenciennes,D923,Local,58.1,80,60
Fontainebleau,Melun,D924,Local,19.9,80,60
Colmar,Haguenau,D925,Local,114.2,80,60
Belfort,Saint-Louis,D926,Local,68.6,80,60
Albertville,Annemasse,D927,Local,76.5,80,60
Digne-les-Bains,Manosque,D928,Local,59.8,80,60
Avignon,Montelimar,D929,Local,88.2,80,60
Narbonne,Sete,D930,Local,79.7,80,60
Niort,Rochefort,D931,Local,74.5,80,60
Chatellerault,Saumur,D932,Local,88.7,80,60
Abbeville,Dieppe,N1,Trunk,70.4,110,80
Angouleme,Libourne,N10,Trunk,106.6,110,80
Blois,Tours,N10,Trunk,65.1,110,80
Poitiers,Tours,N10,Trunk,114.9,110,80
Ales,Mende,N106,Trunk,77.4,110,80
Ales,Nimes,N106,Trunk,48.0,110,80
La Rochelle,Niort,N11,Trunk,68.3,110,80
Ales,Montpellier,N110,Trunk,73.0,110,80
Albi,Castres,N112,Trunk,45.0,110,80
Beziers,Sete,N112,Trunk,48.2,110,80
Arles,Marseille,N113,Trunk,89.4,110,80
Carcassonne,Castres,N113,Trunk,54.3,110,80
Carcassonne,Perpignan,N116,Trunk,89.4,110,80
Paris,Versailles,N118,Trunk,21.2,110,80
Rennes,Saint-Brieuc,N12,Trunk,111.9,110,80
Aurillac,Tulle,N120,Trunk,79.0,110,80
Auch,Mont-de-Marsan,N124,Trunk,111.5,110,80
Auch,Toulouse,N124,Trunk,84.5,110,80
Castres,Toulouse,N126,Trunk,78.3,110,80
Dax,Mont-de-Marsan,N133,Trunk,59.4,110,80
Dax,Pau,N134,Trunk,87.6,110,80
Chalons-en-Champagne,Saint-Dizier,N135,Trunk,67.9,110,80
Aurillac,Brive-la-Gaillarde,N140,Trunk,92.4,110,80
Aurillac,Rodez,N140,Trunk,79.1,110,80
Angouleme,Limoges,N141,Trunk,107.6,110,80
Angouleme,Saintes,N141,Trunk,76.1,110,80
Gueret,Limoges,N145,Trunk,73.4,110,80
Gueret,Montlucon,N145,Trunk,72.5,110,80
Poitiers,Saumur,N147,Trunk,100.0,110,80
Auxerre,Nevers,N151,Trunk,116.1,110,80
Bourges,Nevers,N151,Trunk,71.4,110,80
Chateauroux,Gueret,N151,Trunk,88.5,110,80
Blois,Orleans,N152,Trunk,67.7,110,80
Chartres,Evreux,N154,Trunk,84.7,110,80
Chartres,Orleans,N154,Trunk,82.6,110,80
Alencon,Caen,N158,Trunk,110.1,110,80
Nantes,Saint-Nazaire,N160,Trunk,61.2,110,80
Alencon,Laval,N162,Trunk,91.8,110,80
Brest,Quimper,N165,Trunk,63.8,110,80
Lorient,Quimper,N165,Trunk,74.6,110,80
Lorient,Vannes,N165,Trunk,57.0,110,80
Saint-Nazaire,Vannes,N166,Trunk,72.4,110,80
Arras,Douai,N17,Trunk,28.4,110,80
Rennes,Vannes,N171,Trunk,116.5,110,80
Cherbourg-en-Cotentin,Saint-Lo,N174,Trunk,84.9,110,80
Argenteuil,Beauvais,N184,Trunk,67.0,110,80
Chartres,Versailles,N186,Trunk,75.2,110,80
Paris,Saint-Maur-des-Fosses,N186,Trunk,14.3,110,80
Belfort,Vesoul,N19,Trunk,64.7,110,80
Creteil,Melun,N19,Trunk,38.7,110,80
Laon,Soissons,N2,Trunk,36.2,110,80
Paris,Soissons,N2,Trunk,111.9,110,80
Agen,Cahors,N20,Trunk,86.6,110,80
Digne-les-Bains,Draguignan,N202,Trunk,78.6,110,80
Limoges,Perigueux,N21,Trunk,102.0,110,80
Cholet,Nantes,N249,Trunk,65.9,110,80
Cholet,Saumur,N249,Trunk,78.7,110,80
Amiens,Arras,N25,Trunk,68.3,110,80
Compiegne,Saint-Quentin,N29,Trunk,71.1,110,80
Avignon,Nimes,N296,Trunk,46.1,110,80
Douai,Valenciennes,N30,Trunk,38.4,110,80
Montpellier,Sete,N300,Trunk,33.0,110,80
Beauvais,Compiegne,N31,Trunk,65.8,110,80
Beauvais,Rouen,N31,Trunk,86.5,110,80
Compiegne,Soissons,N31,Trunk,44.2,110,80
Reims,Soissons,N31,Trunk,64.8,110,80
Argenteuil,Paris,N311,Trunk,15.5,110,80
Compiegne,Meaux,N330,Trunk,62.3,110,80
Meaux,Melun,N330,Trunk,60.3,110,80
Douai,Lille,N333,Trunk,35.0,110,80
Meaux,Soissons,N34,Trunk,69.5,110,80
Lille,Roubaix,N346,Trunk,13.4,110,80
Roubaix,Tourcoing,N356,Trunk,4.2,110,80
Lyon,Villeurbanne,N383,Trunk,5.3,110,80
Creteil,Paris,N406,Trunk,12.9,110,80
Calais,Lille,N43,Trunk,111.7,110,80
Charleville-Mezieres,Laon,N43,Trunk,100.0,110,80
Charleville-Mezieres,Verdun,N51,Trunk,101.8,110,80
Agen,Auch,N524,Trunk,75.6,110,80
Agen,Mont-de-Marsan,N524,Trunk,116.8,110,80
Auch,Tarbes,N524,Trunk,75.2,110,80
Besancon,Vesoul,N57,Trunk,53.5,110,80
Epinal,Nancy,N57,Trunk,74.2,110,80
Epinal,Vesoul,N57,Trunk,79.6,110,80
Arles,Avignon,N572,Trunk,40.8,110,80
Belfort,Colmar,N59,Trunk,74.9,110,80
Colmar,Epinal,N59,Trunk,83.2,110,80
Melun,Saint-Maur-des-Fosses,N6,Trunk,39.2,110,80
Epinal,Mulhouse,N66,Trunk,98.8,110,80
Chaumont,Saint-Dizier,N67,Trunk,73.4,110,80
Saint-Dizier,Verdun,N67,Trunk,80.6,110,80
Clermont-Ferrand,Vichy,N7,Trunk,57.2,110,80
Lyon,Roanne,N7,Trunk,81.4,110,80
Macon,Roanne,N7,Trunk,80.3,110,80
Moulins,Nevers,N7,Trunk,59.7,110,80
Moulins,Vichy,N7,Trunk,60.1,110,80
Chalon-sur-Saone,Lons-le-Saunier,N73,Trunk,66.7,110,80
Auxerre,Troyes,N77,Trunk,81.6,110,80
Roanne,Saint-Etienne,N82,Trunk,86.4,110,80
Roanne,Vichy,N82,Trunk,61.7,110,80
Besancon,Lons-le-Saunier,N83,Trunk,87.9,110,80
Colmar,Saint-Louis,N83,Trunk,69.0,110,80
Cannes,Draguignan,N85,Trunk,54.2,110,80
Digne-les-Bains,Gap,N85,Trunk,65.2,110,80
Gap,Grenoble,N85,Trunk,91.9,110,80
Le Puy-en-Velay,Valence,N86,Trunk,97.8,110,80
Albi,Rodez,N88,Trunk,70.5,110,80
Cahors,Rodez,N88,Trunk,110.5,110,80
Le Puy-en-Velay,Mende,N88,Trunk,80.3,110,80
Le Puy-en-Velay,Saint-Etienne,N88,Trunk,72.1,110,80
Mende,Rodez,N88,Trunk,92.6,110,80
Millau,Rodez,N88,Trunk,59.8,110,80
Bordeaux,Libourne,N89,Trunk,34.0,110,80
Brive-la-Gaillarde,Tulle,N89,Trunk,27.1,110,80
Libourne,Perigueux,N89,Trunk,99.4,110,80
Mende,Millau,N9,Trunk,70.0,110,80
Albertville,Annecy,N90,Trunk,39.2,110,80
Frejus,Toulon,N98,Trunk,90.2,110,80
